,url,name,sku,price,size,brand,description,images
1,https://us.shein.com/Lace-Up-Bodycon-Skirt-p-7557232-cat-1732.html?mallCode=1,Lace Up Bodycon Skirt, SKU: sw2111151588254852,$7.25,"XS(2),S(4),M(6),L(8/10)",,"[{'Color': 'Black'}, {'Style': 'Sexy'}, {'Pattern Type': 'Plain'}, {'Details': 'Lace Up, Grommet Eyelet'}, {'Waist Line': 'High Waist'}, {'Length': 'Mini'}, {'Type': 'Bodycon'}, {'Fabric': 'High Stretch'}, {'Material': 'Fabric'}, {'Composition': '95% Polyester, 5% Elastane'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/163970520541d0365e6ca298cd474dda039344b372_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/1639705198c543732e03a7790132925c7d141bb1a5_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/1639705200627220cd0585b628cbcfb59a3ee70555_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/1639705204a6505df1060f0f559fc87b1aa0f92085_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/163970520541d0365e6ca298cd474dda039344b372_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/16397052078664769ccc959a049dfce96a5778d3dc_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/163970521024b1c4f04f0df5b691f82284cffc8cb8_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/163970520541d0365e6ca298cd474dda039344b372_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/17/1639705198c543732e03a7790132925c7d141bb1a5_thumbnail_600x.webp']"
2,https://us.shein.com/High-Waist-Twist-Front-Shorts-p-12730872-cat-1912.html?mallCode=1,High Waist Twist Front Shorts, SKU: sw2211215551435599,$8.99,"S(4),M(6),L(8/10),XL(12)",,"[{'Color': 'Royal Blue'}, {'Style': 'Casual'}, {'Pattern Type': 'Plain'}, {'Type': 'Straight Leg'}, {'Closure Type': 'Zipper Fly'}, {'Details': 'Twist'}, {'Waist Line': 'Natural'}, {'Length': 'Short'}, {'Fit Type': 'Regular Fit'}, {'Fabric': 'Non-Stretch'}, {'Material': 'Woven Fabric'}, {'Composition': '100% Polyester'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673343710e82ef2f6459ca5bf2937e6b4860c9144_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673343712de83c525f485be14deb27b7f4bbe2604_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673343707ac0aedecc81c1d5e5c6e233b80b0a9bf_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673343703049d7a7cea6349a76c4493f0bc775738_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/16733437055fa3633f22e548c33f9473a4b43254d5_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673343708a4d6310966b49bab957628f5c2fd757c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673343710e82ef2f6459ca5bf2937e6b4860c9144_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673343710e82ef2f6459ca5bf2937e6b4860c9144_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673343712de83c525f485be14deb27b7f4bbe2604_thumbnail_600x.webp']"
3,https://us.shein.com/ROMWE-Sweetness-Cherry-Lace-Cami-Top-p-11615877-cat-1779.html?mallCode=1,ROMWE Sweetness Cherry Lace Cami Top, SKU: rw2203161166248409,$7.00,"XS(2),S(4),M(6),L(8/10),XL(12),XXL(14)",ROMWE,"[{'Color': 'Red and White'}, {'Style': 'Casual'}, {'Pattern Type': 'Fruit&Vegetable'}, {'Details': 'Contrast Lace'}, {'Length': 'Crop'}, {'Type': 'Cami'}, {'Neckline': 'Spaghetti Strap'}, {'Fit Type': 'Slim Fit'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Mesh Fabric'}, {'Composition': '70% Polyamide, 30% Spandex'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/24/1653383073359bb4dbfbbf54cdd8c4f70db48ac776_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/03/02/16777272009f0693ba4a90f479f9bb9d02c64bd95f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/03/02/1677727205c23d6cb4795018606145dc7444187f23_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/24/165338307545490af08a3437083d111248919e36d8_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/24/1653383073359bb4dbfbbf54cdd8c4f70db48ac776_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/03/02/16777272009f0693ba4a90f479f9bb9d02c64bd95f_thumbnail_600x.webp']"
4,https://us.shein.com/Cut-Out-Criss-Cross-One-Piece-Swimsuit-p-3788896-cat-2193.html?mallCode=1,Cut Out Criss Cross One Piece Swimsuit, SKU: sw2108269195581516,$9.50,"S(4),M(6),L(8/12)",,"[{'Color': 'Lilac Purple'}, {'Style': 'Elegant'}, {'Pattern Type': 'Plain'}, {'Details': 'Criss Cross, Cut Out'}, {'Bra Type': 'Wireless Bra'}, {'Neckline': 'High Neck'}, {'Fabric': 'High Stretch'}, {'Material': 'Fabric'}, {'Composition': '80% Polyamide, 20% Elastane'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Body': 'Lined'}, {'Chest pad': 'Removable Padding'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/16527671293494881305940820253c631411a4d328_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/16527671293494881305940820253c631411a4d328_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/165276713074721b1ff4c606133bf764d246ed4a0c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/16527671327b6cb38f08ff1577ff5332d55aeb6163_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/16527671344ea5e2239de274b6d6d66dec7534d2f8_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/1652767135a7167f9e96d0e36132ba9ecddb91f698_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/1652767137cb1bdc4afe5da1a4e8944758b1f832b7_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/1652767138657e4191393a9630110fcb7b2e42126b_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/16527671293494881305940820253c631411a4d328_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/17/16527671293494881305940820253c631411a4d328_thumbnail_600x.webp']"
5,https://us.shein.com/Tie-Backless-Halter-Triangle-V-string-Bikini-Swimsuit-p-12729223-cat-1866.html?mallCode=1,Tie Backless Halter Triangle V-string Bikini Swimsuit, SKU: sw2211254128128287,$10.49,"S(4),M(6),L(8/12)",,"[{'Color': 'White'}, {'Pattern Type': 'Plain'}, {'Details': 'Backless, Tie Back'}, {'Bottom Type': 'Thongs'}, {'Bra Type': 'Triangle'}, {'Neckline': 'Halter'}, {'Number of Pieces': '2 Piece Set'}, {'Fabric': 'High Stretch'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Chest pad': 'Removable Padding'}, {'Bikini Tops & Bikini Bottoms Material': 'Fabric'}, {'Bikini Tops & Bikini Bottoms Composition': '82% Polyester, 18% Elastane'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/04/16728231872991234c3e2935c01bcfcd1587a00a33_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/04/167282317854957bd95059b9d68350ca352a44afef_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/10/1673327300e3bdead512562e150db517c42a1aabf9_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/04/167282318295f4379c42d2bfdca0fe27eb8b0b9c8f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/04/16728231850ec7cb822eb6d72f5335dc205638216a_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/04/16728231872991234c3e2935c01bcfcd1587a00a33_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/01/04/167282317854957bd95059b9d68350ca352a44afef_thumbnail_600x.webp']"
6,https://us.shein.com/Solid-Tie-Side-Cover-Up-Skirt-p-9959176-cat-2176.html?mallCode=1,Solid Tie Side Cover Up Skirt, SKU: sw2202158913200151,$4.49,one-size,,"[{'Color': 'Black'}, {'Pattern Type': 'Plain'}, {'Details': 'Knot'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Fabric'}, {'Composition': '95% Polyester, 5% Elastane'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Sheer': 'Yes'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/09/164679159837613cfd97784715d9d010e6ca95319c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/09/164679159219d98fde85da63614cf9aacc88c3469f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/09/16467915938878102ee58b06de83111d4a3dca6a7b_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/09/1646791596d29fd7f66977ab011fe75cfa43bfae39_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/09/164679159837613cfd97784715d9d010e6ca95319c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/09/164679159219d98fde85da63614cf9aacc88c3469f_thumbnail_600x.webp']"
7,https://us.shein.com/ROMWE-PUNK-Tie-Dye-Letter-Graphic-Notched-Neck-Bell-Sleeve-Crop-Tee-p-10941354-cat-1738.html?mallCode=1,ROMWE PUNK Tie Dye & Letter Graphic Notched Neck Bell Sleeve Crop Tee, SKU: sw2205252404438114,$6.99,"XS(2),S(4),M(6),L(8/10)",ROMWE,"[{'Color': 'Brown'}, {'Style': 'Casual'}, {'Pattern Type': 'Tie Dye'}, {'Neckline': 'Notched'}, {'Details': 'Lettuce Trim'}, {'Sleeve Length': 'Long Sleeve'}, {'Sleeve Type': 'Regular Sleeve'}, {'Length': 'Crop'}, {'Fit Type': 'Slim Fit'}, {'Fabric': 'Medium Stretch'}, {'Material': 'Fabric'}, {'Composition': '100% Polyester'}, {'Care Instructions': 'Machine wash, do not dry clean,wash with the soft detergent'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/1656571572e760a315560735c04a8e863d0118012f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/165657155806e8e0ba9f0755ed93a54d98df574f3f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/1656571561bc585154b7c8445783b34eb3d817423e_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/165657156411c0a3a55a5a937ccec4831c0a41cd18_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/16565715671b3449df310dcebf730004e882d104eb_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/1656571569b8636cba93ee9d29f5ff007c791b7309_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/1656571572e760a315560735c04a8e863d0118012f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/1656571572e760a315560735c04a8e863d0118012f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/30/165657155806e8e0ba9f0755ed93a54d98df574f3f_thumbnail_600x.webp']"
8,https://us.shein.com/O-ring-Detail-Halter-Knot-Side-Triangle-Thong-Bikini-Swimsuit-p-10166972-cat-1866.html?mallCode=1,O-ring Detail Halter Knot Side Triangle Thong Bikini Swimsuit, SKU: sw2202159072898493,$11.49,"S(4),M(6),L(8/12),XL(14)",,"[{'Color': 'Mocha Brown'}, {'Style': 'Sexy'}, {'Pattern Type': 'Plain'}, {'Details': 'Backless, Knot, Ring, Tie Back, Rib-Knit'}, {'Bottom Type': 'Tie Side'}, {'Bra Type': 'Triangle'}, {'Neckline': 'Halter'}, {'Fabric': 'High Stretch'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Chest pad': 'Removable Padding'}, {'Bikini Bottoms & Bikini Tops Material': 'Fabric'}, {'Bikini Bottoms & Bikini Tops Composition': '82% Polyester, 18% Elastane'}, {'Bikini Bottoms & Bikini Tops Body': 'Lined'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/1653025085d06b7b9cfff60045d9e3e9e4066ea203_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/1653025078b74f39b2247778a490a220fd11d68b43_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/165302508099599756a09692c11332c0f92b3297d6_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/165302508283e53fc83fe96a1700baa9490fc9fe7e_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/1653025084a6ea7d63cfc7a1fd6c7761a16a1a7192_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/1653025085d06b7b9cfff60045d9e3e9e4066ea203_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/16530250870bebddc4b81717dfd28d43cc07e6cfdd_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/165302508822a9d788e869e33b0aeae87ba50a1b2d_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/1653025085d06b7b9cfff60045d9e3e9e4066ea203_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/20/1653025078b74f39b2247778a490a220fd11d68b43_thumbnail_600x.webp']"
10,https://us.shein.com/SHEIN-ICON-Buckle-Tape-Cut-Out-Lace-Up-Bootcut-Pants-p-10175836-cat-1740.html?mallCode=1,SHEIN ICON Buckle Tape Cut Out Lace Up Bootcut Pants, SKU: sw2203020080891966,$8.00,"XS(2),S(4),M(6),L(8/10)",SHEIN ICON,"[{'Color': 'Army Green'}, {'Style': 'Sexy'}, {'Pattern Type': 'Plain'}, {'Type': 'Straight Leg'}, {'Details': 'Lace Up, Knot'}, {'Waist Line': 'High Waist'}, {'Length': 'Long'}, {'Fit Type': 'Regular Fit'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Fabric'}, {'Composition': '95% Polyester, 5% Elastane'}, {'Care Instructions': 'Hand wash or professional dry clean'}, {'Body': 'Unlined'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/31/1648691892ba36ca24c5612c45efa2db5f46617fb4_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/31/16486918877387243524dce77d32bbcfe23ca6c859_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/31/1648691888cc864860b146864d682852d3781f7c15_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/31/16486918910368c9a86227c985c495960a0f56d91c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/31/1648691892ba36ca24c5612c45efa2db5f46617fb4_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/31/1648691894eba7ff7c66eba6ed0934c242307cf319_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/31/1648691892ba36ca24c5612c45efa2db5f46617fb4_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/03/31/16486918877387243524dce77d32bbcfe23ca6c859_thumbnail_600x.webp']"
11,https://us.shein.com/ROMWE-PUNK-Grunge-High-Waist-Floral-Baroque-Print-Lettuce-Trim-Skirt-p-11493009-cat-1732.html?mallCode=1,ROMWE PUNK Grunge High Waist Floral & Baroque Print Lettuce Trim Skirt, SKU: sw2208033120692623,$8.00,"XS(2),S(4),M(6),L(8/10)",ROMWE,"[{'Color': 'Multicolor'}, {'Style': 'Casual'}, {'Pattern Type': 'Floral'}, {'Details': 'Lettuce Trim'}, {'Waist Line': 'Natural'}, {'Length': 'Long'}, {'Type': 'Straight'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Knitted Fabric'}, {'Composition': '91% Polyester, 9% Elastane'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Belt': 'No'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/166322216009a279d1e9ce069bd75bf0b5eb0595d0_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/166322215057804697e2b86cfc635ca0aac61eafec_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/1663222153ed0b637e46657230dcba5f9419dc6fb7_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/16632221568f46c06cbc508cae7f383ad9d23a9c98_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/166322216009a279d1e9ce069bd75bf0b5eb0595d0_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/166322216330bfb58e5287aae1392e726a39542824_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/1663222166d447694cdc228b273686fcc3d580f565_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/166322216009a279d1e9ce069bd75bf0b5eb0595d0_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/15/166322215057804697e2b86cfc635ca0aac61eafec_thumbnail_600x.webp']"
